,,Hourly SiteSage  Data, 2018-02-03 12:24:00,Customer: ,Historic Green Village,Location: Bakery (F1),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Column name is Energy Monitor Channel Number-Circuit Name,,,,,,,,,,,,,,,,,,,,,,,,
Channel Columns contain energy usage(production) in watt hours for hour,,,,,,,,,,,,,,,,,,,,,,,,
Voltage is average voltage for hour,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 Date/Time,CH1-Bldg F1,CH3-PV Array F1,CH4-Plug: Front FridgeT,CH5-A/C: WSHP1,CH6-Range,CH8-Plug: Microwave,CH9-Wired: Dishwasher,CH10-Plug: Mixer,CH11-Plug: Fridge in Back,CH12-Plug: Front Display Case,CH13-Plug: Back Middle Freezer,CH14-Plug: Back Freezer near Wall,CH15-Lights: Indoor 1,CH16-DHW Gas Instant,CH17-Plug: Gas Oven,CH18-Plugs: Outlet 1,CH19-Plugs: Outlet 2,CH20-Plugs: Outlet 3,CH21-Plug: Front Small Fridge,CH22-Lights: Bath/Mechanical Room,CH23-Plug: Outdoor Receptacle,CH24-Lights: Outdoor 4,4065/Voltage,Outdoor Temp
1/3/2016 21:00,4445,0,0,602,5,13,0,100,565,916,941,564,33,0,0,0,0,49,0,854,0,0,120.2,58
1/3/2016 22:00,4420,0,0,618,4,14,0,102,531,925,925,544,34,1,0,0,0,49,0,914,0,0,120.7,57
1/3/2016 23:00,4578,0,0,636,4,15,0,41,617,932,858,541,34,0,0,0,0,49,0,1073,0,0,121.1,56
1/4/2016 0:00,4492,0,0,649,3,15,0,29,502,938,963,532,35,1,0,0,0,49,0,1008,0,0,121.5,57
1/4/2016 1:00,4438,0,0,567,4,15,0,67,545,929,862,534,34,0,0,0,0,48,0,891,0,0,120.9,57
1/4/2016 2:00,4912,0,0,647,3,15,0,67,554,928,929,736,34,0,0,0,0,48,0,904,0,0,121,58
1/4/2016 3:00,4617,0,0,612,3,15,0,53,474,928,899,638,34,1,0,0,0,48,0,982,0,0,121,58
1/4/2016 4:00,4453,0,0,596,3,14,0,29,543,926,880,549,34,0,0,0,0,49,0,887,0,0,120.8,57
1/4/2016 5:00,4540,0,0,623,3,14,0,48,427,918,906,530,34,1,0,0,0,49,0,1075,0,0,120.2,57
1/4/2016 6:00,4242,0,0,565,3,14,0,65,410,895,770,548,33,2,0,0,0,49,0,890,0,0,118.8,58
1/4/2016 7:00,4851,-55,0,904,3,22,0,64,438,881,991,534,95,1,0,0,0,49,0,847,0,4,117.7,57
1/4/2016 8:00,6626,-178,0,1728,5,33,0,99,384,877,965,521,574,10,0,64,0,79,726,840,2,36,117,57
1/4/2016 9:00,5725,-1151,0,1914,5,34,0,77,534,874,954,592,575,7,101,80,0,87,112,823,0,111,116.4,58
1/4/2016 10:00,6144,-2157,0,2088,753,45,0,154,556,936,954,761,578,4,306,80,0,96,112,815,5,118,116.4,59
1/4/2016 11:00,5963,-2671,0,1764,1021,44,80,98,684,968,989,699,579,8,0,81,0,88,113,1020,5,122,117,61
1/4/2016 12:00,6323,-2793,0,2423,274,159,0,145,603,967,1326,700,579,5,214,82,0,93,114,839,5,119,117.4,62
1/4/2016 13:00,6032,-2545,0,2424,10,40,77,110,641,956,1217,787,580,12,0,82,0,100,115,858,5,117,117.7,62
1/4/2016 14:00,6955,-1962,0,1889,1017,71,0,118,719,957,1140,912,578,4,0,81,0,95,113,839,5,117,116.9,63
1/4/2016 15:00,7694,-1264,0,2234,620,149,39,237,576,969,1206,867,574,5,0,81,0,92,114,842,5,117,117,63
1/4/2016 16:00,5849,-337,0,226,5,84,41,128,693,955,1226,668,558,12,0,82,0,93,115,894,6,111,117.8,63
1/4/2016 17:00,6051,-103,0,1150,5,137,0,59,577,917,1068,639,559,5,0,12,0,137,72,1034,1,30,118.2,63
1/4/2016 18:00,4588,16,0,319,5,18,0,69,640,890,1042,605,236,2,0,0,0,78,0,888,0,0,117.8,62
1/4/2016 19:00,4591,0,0,796,5,23,0,76,580,901,954,587,31,2,0,0,0,48,0,874,0,0,118.5,61
1/4/2016 20:00,4612,0,0,637,5,15,0,110,476,913,1007,619,34,1,0,0,0,49,0,971,0,0,119.5,60
1/4/2016 21:00,4581,0,0,651,5,18,0,53,574,914,1057,605,31,1,0,0,0,48,0,885,0,0,119.7,59
1/4/2016 22:00,4246,0,0,566,5,14,0,29,425,926,957,603,33,0,0,0,0,49,0,896,0,0,120.6,59
1/4/2016 23:00,4733,0,0,606,5,14,0,59,476,931,1045,738,34,0,0,0,0,49,0,1081,0,0,121,60
1/5/2016 0:00,4682,0,0,661,4,15,0,67,463,937,1081,686,34,0,0,0,0,49,0,953,0,0,121.3,58
1/5/2016 1:00,4346,0,0,681,4,14,0,58,311,926,938,622,34,1,0,0,0,49,0,954,0,0,120.8,57
1/5/2016 2:00,4428,0,0,578,3,14,0,26,639,926,936,567,34,0,0,0,0,48,0,907,0,0,120.8,57
1/5/2016 3:00,4414,0,0,585,4,14,0,48,439,927,965,627,34,0,0,0,0,48,0,977,0,0,120.8,58
1/5/2016 4:00,4059,0,0,301,3,14,0,65,472,921,942,539,34,1,0,0,0,48,0,920,0,0,120.5,57
1/5/2016 5:00,4220,0,0,535,4,14,0,65,419,912,891,589,33,0,0,0,0,48,0,951,0,0,120,56
1/5/2016 6:00,4135,0,0,536,4,20,0,26,397,889,864,548,33,3,0,0,0,49,0,978,0,0,118.3,56
1/5/2016 7:00,3891,-59,0,294,5,23,0,41,432,882,857,512,103,2,0,0,0,52,0,872,0,2,117.9,57
1/5/2016 8:00,6598,-383,0,1487,433,71,0,256,463,860,894,562,565,6,0,0,0,88,741,908,3,22,116.5,53
1/5/2016 9:00,5922,-1030,0,2122,36,34,38,128,572,855,960,482,577,6,296,20,0,90,111,848,1,72,116.2,54
1/5/2016 10:00,5185,-1713,0,1857,5,40,78,112,499,905,1015,561,575,7,322,39,0,86,111,802,5,102,116.3,58
1/5/2016 11:00,5101,-2250,0,1487,110,32,73,92,538,913,992,868,577,6,366,39,0,105,112,858,6,103,116.8,61
1/5/2016 12:00,5808,-2646,0,2450,192,32,39,120,602,919,944,585,578,5,368,96,0,96,113,949,6,101,117,62
1/5/2016 13:00,6543,-1580,0,2251,315,43,0,127,708,943,910,669,579,4,365,81,0,96,112,858,6,100,116.7,65
1/5/2016 14:00,6783,-1197,0,2269,38,31,37,124,583,954,951,728,580,4,368,81,0,97,113,854,6,98,116.9,66
1/5/2016 15:00,7461,-806,0,2143,612,46,0,119,501,945,932,767,580,4,168,80,0,89,113,858,6,100,117,67
1/5/2016 16:00,7314,-418,0,1809,217,31,0,89,652,948,917,833,576,3,0,77,0,97,115,854,6,103,117.8,68
1/5/2016 17:00,4500,-114,0,1,5,35,0,33,481,894,983,782,454,3,0,6,0,125,0,824,4,1,118.3,67
1/5/2016 18:00,5083,4,0,835,5,15,0,127,634,886,945,730,33,0,0,0,0,47,0,1049,0,0,117.8,66
1/5/2016 19:00,4606,0,0,785,5,14,0,59,442,894,943,700,33,0,0,0,0,47,0,894,0,0,118.5,65
1/5/2016 20:00,4432,0,0,630,5,14,0,68,401,905,1024,621,33,0,0,0,0,47,0,849,0,0,119.3,64
1/5/2016 21:00,4506,0,0,819,5,14,0,65,494,907,872,559,33,0,0,0,0,48,0,908,0,0,119.6,64
1/5/2016 22:00,4157,0,0,506,5,16,0,42,361,912,906,571,31,0,0,0,0,47,0,933,0,0,119.8,61
1/5/2016 23:00,4331,0,0,696,5,14,0,31,465,925,889,555,33,0,0,0,0,48,0,860,0,0,121,60
1/6/2016 0:00,4386,0,0,466,5,14,0,55,417,923,955,567,34,0,0,0,0,48,0,1088,0,0,120.7,59
1/6/2016 1:00,4448,0,0,843,4,14,0,63,385,927,831,568,34,0,0,0,0,48,0,929,0,0,121.1,60
1/6/2016 2:00,4404,0,0,540,5,14,0,63,497,926,935,566,34,0,0,0,0,48,0,978,0,0,121,60
1/6/2016 3:00,4141,0,0,539,4,14,0,36,398,928,894,573,34,0,0,0,0,47,0,896,0,0,121.1,60
1/6/2016 4:00,4361,0,0,659,4,14,0,28,498,922,884,573,33,0,0,0,0,47,0,902,0,0,120.9,60
1/6/2016 5:00,4280,0,0,592,5,14,0,61,419,914,922,538,33,0,0,0,0,48,0,942,0,0,120.2,59
1/6/2016 6:00,4256,0,0,523,5,14,0,63,368,890,963,528,32,0,0,0,0,48,0,1017,0,0,118.6,59
1/6/2016 7:00,5882,-67,0,1389,5,23,0,150,463,868,903,704,363,5,0,0,0,54,314,919,1,9,117.2,59
1/6/2016 8:00,6005,-441,0,1601,5,33,0,307,388,861,721,797,573,4,0,21,0,85,444,836,1,22,116.7,59
1/6/2016 9:00,5375,-1169,0,1788,5,35,79,121,480,857,808,550,574,8,356,40,0,85,112,836,2,22,116.9,61
1/6/2016 10:00,5667,-1975,0,2459,425,121,0,127,454,919,788,478,575,4,346,45,0,88,112,839,6,102,116.6,61
1/6/2016 11:00,6066,-2662,0,2623,735,55,69,116,597,915,716,568,579,6,360,76,0,89,112,824,6,102,116.7,63
1/6/2016 12:00,6784,-2713,0,2743,721,79,0,118,680,919,791,657,580,4,365,77,0,87,112,1018,6,100,116.6,64
1/6/2016 13:00,6404,-2424,0,2789,205,32,36,150,693,942,791,764,581,1,349,77,0,92,113,859,6,99,117,65
1/6/2016 14:00,6618,-2063,0,2559,242,39,0,184,640,948,801,837,582,3,0,77,0,85,114,865,6,100,117.5,66
1/6/2016 15:00,7096,-911,0,1773,770,32,36,97,762,967,828,724,582,4,0,77,0,98,114,857,6,103,117.5,66
1/6/2016 16:00,7172,-251,0,2064,5,33,35,140,687,949,778,757,581,7,0,68,0,91,114,840,5,104,117.3,65
1/6/2016 17:00,5460,-113,0,815,5,34,0,64,609,904,937,619,559,3,0,26,0,128,8,952,4,7,117.7,64
1/6/2016 18:00,3954,0,0,0,5,15,0,48,545,890,964,641,33,0,0,0,0,44,0,914,0,0,117.8,63
1/6/2016 19:00,4358,0,0,536,5,14,0,33,507,893,851,632,32,0,0,0,0,45,0,957,0,0,118.1,62
1/6/2016 20:00,4326,0,0,523,5,14,0,56,567,909,917,545,33,0,0,0,0,46,0,867,0,0,119.3,61
1/6/2016 21:00,4489,0,0,773,5,14,0,66,476,907,888,602,33,0,0,0,0,45,0,878,0,0,119.3,61
1/6/2016 22:00,4351,0,0,473,5,14,0,64,589,923,860,593,34,0,0,0,0,46,0,925,0,0,120.3,60
1/6/2016 23:00,4453,0,0,650,5,13,0,30,451,923,938,598,34,0,0,0,0,44,0,958,0,0,120.3,60
1/7/2016 0:00,4651,0,0,589,5,14,0,35,442,934,957,748,34,0,0,0,0,45,0,1063,0,0,121.2,60
1/7/2016 1:00,4370,0,0,571,5,15,0,65,468,935,870,664,34,0,0,0,0,45,0,909,0,0,121.2,60
1/7/2016 2:00,4449,0,0,698,5,14,0,68,357,926,907,582,34,0,0,0,0,45,0,992,0,0,120.6,59
1/7/2016 3:00,4409,0,0,521,5,14,0,47,530,925,933,593,34,0,0,0,0,45,0,912,0,0,120.6,59
1/7/2016 4:00,4424,0,0,655,5,14,0,27,417,922,1040,570,34,0,0,0,0,45,0,909,0,0,120.5,58
1/7/2016 5:00,4311,0,0,540,5,13,0,57,499,912,958,526,34,0,0,0,0,45,0,896,0,0,119.7,57
1/7/2016 6:00,4297,0,0,725,5,14,0,67,384,890,822,532,33,0,0,0,0,46,0,970,0,0,118.3,57
1/7/2016 7:00,4050,-45,0,529,5,20,0,55,394,881,763,558,33,1,0,0,0,45,0,913,0,0,117.7,56
1/7/2016 8:00,4951,-184,0,449,5,85,0,57,541,880,932,572,262,1,0,0,0,57,532,908,2,1,117.5,56
1/7/2016 9:00,6595,-406,0,1945,5,32,38,197,581,864,1035,620,564,7,301,0,0,97,118,853,1,26,116.2,56
1/7/2016 10:00,5446,-616,0,974,5,32,0,207,529,919,862,587,558,4,343,5,0,90,110,839,5,121,115.7,57
1/7/2016 11:00,7668,-695,0,2654,5,31,0,294,524,914,963,593,567,4,332,77,0,107,110,809,6,117,115.5,58
1/7/2016 12:00,7693,-864,0,2810,5,37,0,211,556,924,893,627,579,4,344,79,0,92,111,901,6,118,115.7,59
1/7/2016 13:00,7503,-1018,0,2620,5,143,0,236,672,945,890,573,580,5,341,80,0,90,112,929,6,120,116.5,61
