,,Hourly SiteSage  Data, 2016-10-28 20:37:00,Customer: ,Historic Green Village @AMI

Column name is Energy Monitor Channel Number-Circuit Name
Channel Columns contain energy usage(production) in watt hours for hour
Voltage is average voltage for hour

 Date/Time,"CH1-Bldg F1","CH2-Bldg F1","CH3-Solar Input (F1)","CH4-No CT","CH5-WSHP","CH6-Range","CH7-Range","CH8-Microwave","CH9-Dishwasher","CH10-Mixer","CH11-Fridge in Back","CH12-Front Display Case","CH13-Back Middle Freezer","CH14-Back Freezer near Wall","CH15-Lighting{1}","CH16-Gas Water Heater","CH17-Gas Convection Oven","CH18-Receptacle 1","CH19-Receptacle 2","CH20-Receptacle 3","CH21-Front Small Fridge","CH22-Bath/Mechanical Room","CH23-Outdoor Receptacle","CH24-Lighting Outdoor",Outdoor Temp
2013-01-05 11:00:00,2922,3138,0,0,1112,488,476,43,91,5,292,460,790,550,576,8,0,245,0,86,428,96,220,445,65
2013-01-05 12:00:00,3758,3551,0,0,2068,557,544,31,0,23,297,355,909,473,581,4,227,239,0,138,567,99,220,456,67
2013-01-05 13:00:00,3565,3678,1,0,2889,171,163,153,0,0,312,481,759,456,580,2,77,241,1,134,470,94,221,421,70
2013-01-05 14:00:00,3084,3229,0,0,2368,6,0,16,38,0,267,496,898,436,579,10,0,241,0,139,436,95,220,387,79
2013-01-05 15:00:00,3078,2987,0,0,1974,5,0,15,0,22,307,513,1178,469,579,11,0,70,0,135,359,89,222,364,72
2013-01-05 16:00:00,2275,2210,0,0,714,5,0,14,42,0,343,456,934,480,579,8,0,0,0,133,346,84,224,323,72
2013-01-05 17:00:00,2059,1638,0,0,504,6,0,14,0,0,285,466,872,510,299,2,0,0,0,63,442,46,53,151,67
2013-01-05 18:00:00,1693,1147,0,0,19,5,0,13,0,0,300,436,877,538,33,1,0,0,0,50,371,16,0,0,65
2013-01-05 19:00:00,1855,1293,0,0,348,6,0,13,0,0,310,492,933,499,34,1,0,0,0,50,357,16,0,0,65
2013-01-05 20:00:00,1943,1456,0,0,664,6,0,13,0,0,271,490,842,510,34,1,0,0,0,51,433,16,0,0,64
2013-01-05 21:00:00,1757,1275,0,0,443,6,0,13,0,0,266,368,927,549,34,1,0,0,0,50,276,17,0,0,64
2013-01-05 22:00:00,1748,1200,0,0,309,5,0,14,0,0,269,389,819,507,35,1,0,0,0,50,438,19,0,0,65
2013-01-05 23:00:00,1802,1227,0,0,369,3,0,14,0,0,281,395,961,502,36,1,0,0,0,49,319,20,0,0,64
