,,Daily SiteSage Data, 2018-01-01 15:58:00,Customer: ,Historic Green Village,Location: Bakery (F1)

Column name is Energy Monitor Channel Number-Circuit Name
Channel Columns contain energy usage(production) in kWh for day
Voltage is average voltage for day

 Date,"CH1-Bldg F1","CH3-PV Array F1","CH4-Plug: Front FridgeT","CH5-A/C: WSHP1","CH6-Range","CH8-Plug: Microwave","CH9-Wired: Dishwasher","CH10-Plug: Mixer","CH11-Plug: Fridge in Back","CH12-Plug: Front Display Case","CH13-Plug: Back Middle Freezer","CH14-Plug: Back Freezer near Wall","CH15-Lights: Indoor 1","CH16-DHW Gas Instant","CH17-Plug: Gas Oven","CH18-Plugs: Outlet 1","CH19-Plugs: Outlet 2","CH20-Plugs: Outlet 3","CH21-Plug: Front Small Fridge","CH22-Lights: Bath/Mechanical Room","CH23-Plug: Outdoor Receptacle","CH24-Lights: Outdoor 4",4065/Voltage,Outdoor Temp
2015-02-10,129.049,-17.442,0.002,24.672,4.867,0.995,0.316,6.450,10.999,16.904,21.992,13.877,8.417,3.378,2.643,1.735,0.000,2.110,0.000,22.282,0.003,1.023,118.93750,58.9
2015-02-11,113.389,-17.403,0.010,14.518,2.257,0.856,0.246,2.558,12.393,16.520,23.587,15.984,6.461,3.236,0.001,1.638,0.004,1.816,0.009,21.452,0.008,1.218,119.33158,57.2
2015-02-12,129.259,-19.719,0.000,28.190,4.441,0.569,0.163,5.372,10.793,17.864,21.367,15.166,8.078,3.340,3.858,0.796,0.000,2.045,0.000,22.034,0.004,1.204,118.79167,58.6
2015-02-13,134.234,-20.859,0.000,20.939,3.682,0.609,0.285,4.538,11.642,15.488,25.584,18.773,9.312,3.318,4.329,1.885,0.000,1.900,0.000,21.403,0.003,1.032,117.99583,53.6
2015-02-14,108.736,-20.722,0.001,7.592,2.051,0.695,0.080,3.345,9.738,17.307,23.606,16.057,6.818,3.287,0.364,0.000,0.000,1.520,0.001,21.415,0.003,1.145,117.91250,53.2
2015-02-15,115.243,-19.873,0.001,23.859,1.122,0.827,0.233,2.842,10.222,18.459,21.274,13.992,6.191,3.333,1.900,0.873,0.001,1.401,0.000,22.951,0.003,0.811,118.65000,61.8
2015-02-16,134.275,-17.488,0.000,28.057,5.989,0.614,0.218,4.679,11.380,20.232,22.499,14.517,7.220,3.349,2.662,1.536,0.000,1.768,0.000,22.339,0.003,1.221,118.94583,62
2015-02-17,132.831,-13.061,0.000,30.426,2.894,1.082,0.162,3.637,10.986,19.039,22.117,14.553,8.652,3.345,2.338,2.048,0.000,2.022,0.000,22.227,0.002,1.021,118.91250,63.3
2015-02-18,122.854,-21.889,0.003,17.948,6.868,1.024,0.186,1.878,10.474,16.697,22.995,14.313,8.068,3.307,2.312,1.244,0.000,1.926,3.041,21.751,0.031,1.028,118.17083,55.3
2015-02-19,109.475,-22.461,0.011,12.266,3.192,0.735,0.389,2.286,10.379,13.874,21.761,13.771,7.979,3.302,4.089,0.860,0.000,1.853,3.784,21.076,0.036,1.013,117.51250,50
2015-02-20,107.831,-22.497,0.007,10.706,1.126,0.669,0.219,1.851,10.427,13.984,21.876,14.597,7.895,3.268,3.711,1.541,0.000,1.850,3.107,20.654,0.028,0.981,117.11667,47.5
2015-02-21,110.735,-20.740,0.001,17.928,3.175,0.755,0.165,1.228,9.520,17.966,21.297,13.975,6.360,3.294,1.288,0.000,0.000,1.656,2.733,21.516,0.023,0.896,118.07083,58.3
2015-02-22,121.603,-19.678,0.000,31.068,1.931,0.677,0.164,1.546,10.266,19.053,20.972,13.524,7.516,3.329,3.068,0.166,0.000,2.074,2.472,22.541,0.024,0.847,119.04583,65.2
2015-02-23,145.522,-14.630,0.000,37.492,4.399,0.992,0.241,2.046,11.629,18.861,21.306,14.685,8.399,3.355,4.202,1.863,0.000,2.097,2.899,22.677,0.032,1.122,119.12083,66.1
2015-02-24,146.300,-9.000,0.000,35.819,2.404,0.991,0.152,2.078,11.120,19.862,21.183,14.243,8.991,3.361,4.408,1.572,0.000,2.215,2.804,22.341,0.029,1.449,119.25000,63.3
2015-02-25,144.544,-10.897,0.000,32.743,5.262,0.951,0.217,1.542,12.016,21.275,22.185,15.887,8.403,3.336,2.891,1.237,0.001,1.921,2.641,22.263,0.026,1.659,118.98750,63.8
2015-02-26,138.693,-10.034,0.001,28.680,5.021,0.904,0.157,3.173,11.291,19.634,21.597,14.542,7.645,3.346,3.764,0.446,0.001,1.907,2.006,22.031,0.026,1.163,118.89167,61.8
2015-02-27,124.856,-10.782,0.000,16.896,5.442,1.205,0.272,2.048,11.211,19.463,21.680,15.343,7.431,3.339,0.640,1.099,0.000,1.810,2.010,22.215,0.007,1.096,118.63750,58.2
2015-02-28,129.430,-4.168,0.000,19.121,4.171,0.936,0.139,2.024,11.186,18.171,22.033,14.762,6.542,3.320,1.122,0.023,0.000,1.655,1.709,21.870,0.012,1.064,118.80000,61.5
2015-03-01,125.772,-19.191,0.000,32.604,1.135,0.879,0.167,2.395,10.286,19.354,21.703,13.738,6.327,3.343,2.831,0.294,0.000,1.420,1.373,22.582,0.021,0.720,119.31667,70.7
2015-03-02,145.814,-20.101,0.000,41.628,1.532,0.926,0.160,4.779,12.177,20.777,22.960,14.898,7.030,3.346,3.220,0.665,0.000,1.592,1.665,23.187,0.029,1.068,119.16250,70
2015-03-03,150.360,-18.913,0.000,40.911,2.849,1.549,0.154,2.413,13.266,22.376,21.463,14.526,8.466,3.347,2.663,1.593,0.000,2.011,1.779,24.404,0.028,0.967,119.11250,69.4
2015-03-04,148.362,-21.889,0.000,40.627,3.625,0.890,0.149,2.293,11.482,21.967,23.030,14.684,9.283,3.358,1.783,0.569,0.000,2.215,2.609,24.166,0.022,0.995,119.67500,71
2015-03-05,141.977,-21.760,0.000,42.393,1.619,0.873,0.332,2.735,11.071,21.478,22.599,14.587,6.413,3.369,2.894,0.013,0.000,1.775,1.600,23.297,0.026,0.988,119.77917,71.3
2015-03-06,157.998,-11.257,0.000,41.213,4.013,1.382,0.267,2.332,12.545,21.381,24.619,15.569,8.873,3.344,2.820,1.244,0.001,2.192,1.782,22.721,0.028,1.230,118.73333,67.2
2015-03-07,139.896,-13.449,0.001,24.927,10.721,1.226,0.203,1.924,11.855,20.988,24.636,15.757,6.916,3.333,0.000,0.564,0.000,1.719,1.935,22.527,0.010,1.135,118.95417,62.5
2015-03-08,98.982,-21.689,0.011,25.962,0.163,0.576,0.082,1.729,8.817,16.607,20.568,12.648,5.412,3.183,0.493,0.010,0.000,1.761,0.000,21.148,0.003,0.325,118.76667,64.5
2015-03-09,149.900,-16.015,0.000,41.191,0.710,0.977,0.265,3.710,12.278,21.162,24.270,14.742,7.482,2.128,2.945,1.735,0.000,1.822,1.700,23.106,0.025,1.627,118.85000
2015-03-10,156.850,-22.482,0.000,45.371,6.847,1.212,0.238,2.093,13.808,21.409,26.152,16.106,6.838,0.057,1.462,1.126,0.000,1.642,1.694,23.589,0.023,0.930,118.87500,75.5
2015-03-11,151.388,-22.439,0.000,44.665,4.478,1.368,0.236,1.857,13.386,21.785,23.210,14.277,6.743,0.057,1.373,1.198,0.000,1.688,1.656,23.269,0.021,0.997,118.98750,74.7
2015-03-12,165.094,-19.527,0.000,50.679,5.808,0.786,0.344,3.349,13.515,22.206,25.340,16.114,6.827,0.057,2.776,1.258,0.002,1.627,1.673,23.039,0.028,1.098,118.48333,75.8
2015-03-13,163.815,-21.241,0.000,49.945,8.532,0.718,0.371,2.430,13.425,22.536,23.488,15.043,8.396,0.065,2.367,1.715,0.000,1.863,1.907,22.787,0.024,1.255,118.69583,74.8
2015-03-14,139.480,-22.965,0.000,37.927,3.902,0.584,0.115,2.062,9.609,21.977,22.819,14.754,7.277,0.078,0.000,0.401,0.000,1.670,1.798,22.808,0.009,0.950,117.88333,73.8
